City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Belen,TR,72.03,light rain,36.4891,36.2233,Varlıbaş Uyku Sarayı
504,Bonthe,SL,75.04,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
505,San Ramon,US,68.92,smoke,37.7799,-121.978,San Ramon Marriott
507,Bull Savanna,JM,75.81,broken clouds,17.8868,-77.5902,Big Red's
508,De Aar,ZA,49.78,clear sky,-30.6497,24.0123,Stoneburgh B&B
509,Pinega,RU,66.47,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
510,Hualmay,PE,61.47,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
512,Katsuura,JP,82.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
513,Gizo,SB,79.84,moderate rain,-8.103,156.8419,Imagination Island
514,Xuanzhou,CN,88.81,clear sky,30.9525,118.7553,Nanfang Hotel
515,Nueva Loja,EC,71.71,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
516,Ossett,GB,59.85,light rain,53.6798,-1.5801,"Holiday Inn Leeds - Wakefield M1, JCT.40, an IHG Hotel"
517,Quimper,FR,59.07,broken clouds,48.0,-4.1,Hôtel Escale Oceania Quimper
521,Juneau,US,59.85,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
522,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
523,Concordia,AR,61.59,few clouds,-31.393,-58.0209,Palmar Hotel Casino
524,Challapata,BO,40.32,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
525,Zhuhai,CN,89.78,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
526,Iquique,CL,59.04,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
527,Ferrol,ES,58.71,scattered clouds,43.4832,-8.2369,Parador de Ferrol
528,Marsaxlokk,MT,83.01,few clouds,35.8419,14.5431,Water's Edge
529,Humberto De Campos,BR,74.95,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
530,Vila Velha,BR,62.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
531,Bollnas,SE,63.12,overcast clouds,61.3482,16.3946,Grand Hotel
532,Manono,CD,80.62,overcast clouds,-7.3,27.4167,Hotel hewa bora
533,Mnogovershinnyy,RU,56.79,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
534,Sao Jose Da Coroa Grande,BR,73.29,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
536,Talnakh,RU,78.51,clear sky,69.4865,88.3972,Talnakh Hotel
537,Sam Roi Yot,TH,87.78,overcast clouds,12.2708,99.872,SeaBreezeResort Samroiyot
538,Bilibino,RU,59.09,clear sky,68.0546,166.4372,Gostinitsa Severyanka
539,Anloga,GH,75.65,light rain,5.7947,0.8973,Pin Drop Hotel
541,Nichinan,JP,82.08,light rain,31.6,131.3667,Guest House Aki
542,Itarema,BR,77.4,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
545,Divnomorskoye,RU,80.19,overcast clouds,44.5011,38.1353,Primorskiy
546,Dwarka,IN,84.25,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
547,Macia,MZ,69.46,clear sky,-25.0269,33.0989,Hotel Taskin Macia
548,Yingkou,CN,88.36,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
549,Moindou,NC,67.95,broken clouds,-21.6924,165.677,Gite de la RYAWA
550,Noumea,NC,67.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
551,Swan River,CA,73.29,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
552,Cisarua,ID,81.54,broken clouds,-6.6527,106.471,CISARUA HALIMUN
553,Shaunavon,CA,71.38,few clouds,49.6501,-108.4181,Bear's Den Lodge
555,Urucui,BR,72.46,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
556,Ahipara,NZ,53.24,light rain,-35.1667,173.1667,Ahipara Holiday Park
557,Iwanai,JP,80.49,broken clouds,42.9744,140.5089,いわない高原ホテル
559,Goderich,CA,68.32,scattered clouds,43.7501,-81.7165,Harmony Inn
560,Turiacu,BR,72.7,broken clouds,-1.6633,-45.3717,Pousada Maranata
561,Abengourou,CI,70.39,overcast clouds,6.7297,-3.4964,Hotel des Princes
562,Sept-Iles,CA,54.03,scattered clouds,50.2001,-66.3821,Comfort Inn
563,Aneho,TG,75.29,light rain,6.2333,1.6,Hotel La Linette
564,Chancay,PE,60.67,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
565,Lulea,SE,60.87,clear sky,65.5842,22.1547,Comfort Hotel Arctic
566,Marseille,FR,68.85,overcast clouds,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
568,Nanortalik,GL,42.87,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
569,Zhangye,CN,87.06,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
570,Davila,PH,87.78,light rain,18.4726,120.5763,Blue Ridge Beach Resort
571,Magadan,RU,57.7,overcast clouds,59.5667,150.8,Magadan hotel
572,Jeremie,HT,79.92,clear sky,18.65,-74.1167,Auberge’Inn
574,Sri Aman,MY,78.85,light rain,1.2376,111.4621,Seri Simanggang Hotel
575,Taunggyi,MM,77.4,overcast clouds,20.7833,97.0333,True Treasure Hotel
576,Guanambi,BR,61.57,clear sky,-14.2233,-42.7814,Leopoldo Hotel
578,Comodoro Rivadavia,AR,42.66,clear sky,-45.8667,-67.5,Austral Hotel
